"UniqueID","Probability1"
6533,0.052
6534,0.294
6535,0.878
6536,0.306
6537,0.086
6538,0.878
6539,0.844
6540,0.028
6541,0.072
6542,0
6543,0
6544,0.736
6545,0
6546,0.068
6547,0
6548,0.902
6549,0.92
6550,0.22
6551,0.376
6552,0.012
6553,0.034
6554,0.248
6555,0.996
6556,0
6557,0
6558,0.37
6559,0
6560,0.868
6561,0.574
6562,0.048
6563,0.002
6564,0.002
6565,0
6566,0.114
6567,0.098
6568,0.882
6569,0.82
6570,0
6571,0.1
6572,0.716
6573,0.56
6574,1
6575,0.022
6576,0.806
6577,0
6578,0.002
6579,0.008
6580,0
6581,0.816
6582,0.006
6583,0
6584,0.382
6585,0.004
6586,0.126
6587,0.324
6588,0
6589,0
6590,0.13
6591,0.644
6592,0.03
6593,0.002
6594,0.016
6595,0
6596,0.01
6597,0.012
6598,0
6599,0
6600,0.794
6601,0.166
6602,0
6603,0
6604,0.006
6605,0.176
6606,0.88
6607,0
6608,0.682
6609,0.108
6610,0
6611,0.02
6612,0.276
6613,0
6614,0.002
6615,0
6616,0.046
6617,0.146
6618,0.156
6619,0.192
6620,0.004
6621,0.016
6622,0.026
6623,0
6624,0.212
6625,0.014
6626,0
6627,0
6628,0.016
6629,0.086
6630,0
6631,0.154
6632,0.27
6633,0.888
6634,0.076
6635,0.374
6636,0.348
6637,0.406
6638,0.312
6639,0.374
6640,0.286
6641,0.272
6642,0.312
6643,0.326
6644,0.316
6645,0.048
6646,0.388
6647,0.05
6648,0.094
6649,0.314
6650,0.85
6651,0
6652,0.002
6653,0.062
6654,0
6655,0.514
6656,0.154
6657,0
6658,0.034
6659,0.03
6660,0.578
6661,0
6662,0
6663,0
6664,0.224
6665,0.006
6666,0.238
6667,0.028
6668,0.012
6669,0.01
6670,0.738
6671,0.926
6672,0.002
6673,0.116
6674,0.042
6675,0.036
6676,0
6677,0.002
6678,0.034
6679,0
6680,0.878
6681,0
6682,0.01
6683,0.162
6684,0.354
6685,0.002
6686,0.032
6687,0.004
6688,0.912
6689,0.004
6690,0.034
6691,0.218
6692,0.216
6693,0
6694,0.758
6695,0.052
6696,0
6697,0.668
6698,0.006
6699,0.234
6700,0.002
6701,0.732
6702,0
6703,0.068
6704,0.014
6705,0.03
6706,0
6707,0.038
6708,0
6709,0.01
6710,0.008
6711,0.044
6712,0.002
6713,0.02
6714,0.154
6715,0.002
6716,0
6717,0
6718,0.34
6719,0.024
6720,0.682
6721,0
6722,0.002
6723,0.588
6724,0.132
6725,0.58
6726,0.1
6727,0.15
6728,0.928
6729,0.004
6730,0.004
6731,0.51
6732,0
6733,0.002
6734,0.05
6735,0.068
6736,0
6737,0.032
6738,0.262
6739,0.476
6740,0
6741,0.27
6742,0
6743,0
6744,0.02
6745,0.226
6746,0
6747,0
6748,0.09
6749,0.03
6750,0.934
6751,0
6752,0.34
6753,0.502
6754,0.016
6755,0.002
6756,0.042
6757,0.536
6758,0.374
6759,0
6760,0.076
6761,0.016
6762,0.004
6763,0.376
6764,0.918
6765,0.02
6766,0
6767,0
6768,0.054
6769,0.014
6770,0.016
6771,0.076
6772,0.166
6773,0.002
6774,0
6775,0.666
6776,0.04
6777,0.002
6778,0.002
6779,0.136
6780,0.95
6781,0.03
6782,0.118
6783,0
6784,0
6785,0.04
6786,0.004
6787,0.856
6788,0.13
6789,0.072
6790,0.03
6791,0.004
6792,0
6793,0.106
6794,0
6795,0.024
6796,0
6797,0.06
6798,0.046
6799,0.002
6800,0.022
6801,0.04
6802,0.076
6803,0.002
6804,0
6805,0.002
6806,0
6807,0.984
6808,0.982
6809,0.02
6810,0.874
6811,0.034
6812,0.032
6813,0
6814,0.016
6815,0.162
6816,0.216
6817,0.1
6818,0.032
6819,0.806
6820,0.012
6821,0.1
6822,0.048
6823,0.106
6824,0.674
6825,0.97
6826,0
6827,0.008
6828,0
6829,0.074
6830,0.022
6831,0.08
6832,0.018
6833,0
6834,0
6835,0.93
6836,0.014
6837,0.228
6838,0.014
6839,0
6840,0.036
6841,0
6842,0.004
6843,0
6844,0.896
6845,0.94
6846,0.002
6847,0.418
6848,0.044
6849,0.036
6850,0.22
6851,0
6852,0.81
6853,0
6854,0
6855,0.004
6856,0.018
6857,0.026
6858,0
6859,0.756
6860,0.65
6861,0
6862,0.046
6863,0.404
6864,0.488
6865,0.012
6866,0.658
6867,0.054
6868,0
6869,0.636
6870,0.102
6871,0.002
6872,0.036
6873,0.254
6874,0.076
6875,0.012
6876,0
6877,0.036
6878,0.342
6879,0.056
6880,0
6881,0.136
6882,0
6883,0.002
6884,0
6885,0.944
6886,0.012
6887,0
6888,0.244
6889,0.022
6890,0.004
6891,0.092
6892,0.026
6893,0.038
6894,0
6895,0
6896,0.002
6897,0.004
6898,0.032
6899,0.01
6900,0
6901,0
6902,0.004
6903,0.208
6904,0.946
6905,0.002
6906,0.006
6907,0.172
6908,0
6909,0.118
6910,0.004
6911,0.006
6912,0
6913,0.262
6914,0.19
6915,0.02
6916,0
6917,0
6918,0.476
6919,0
6920,0.234
6921,0.942
6922,0.048
6923,0.236
6924,0.082
6925,0.612
6926,0
6927,0.732
6928,0
6929,0.002
6930,0.004
6931,0.07
6932,0
6933,0
6934,0.762
6935,0.45
6936,0.002
6937,0.024
6938,0.044
6939,0.012
6940,0.794
6941,0.178
6942,0
6943,0.828
6944,0.002
6945,0
6946,0.204
6947,0.022
6948,0
6949,0.004
6950,0.178
6951,0.354
6952,0.006
6953,0.59
6954,0.05
6955,0.034
6956,0.724
6957,0.02
6958,0
6959,0
6960,0.482
6961,0.078
6962,0.004
6963,0.52
6964,0.002
6965,0.122
6966,0.132
6967,0.95
6968,0.396
6969,0
6970,0
6971,0.146
6972,0.598
6973,0.01
6974,0
6975,0.028
6976,0.1
6977,0
6978,0
6979,0.216
6980,0.002
6981,0
6982,0.046
6983,0
6984,0
6985,0.012
6986,0.024
6987,0.048
6988,0
6989,0.006
6990,0.83
6991,0.016
6992,0
6993,0
6994,0.058
6995,0
6996,0.004
6997,0.012
6998,0.01
6999,0
7000,0.048
7001,0.058
7002,0.862
7003,0.802
7004,0.026
7005,0.904
7006,0
7007,0
7008,0.07
7009,0.966
7010,0
7011,0.04
7012,0.952
7013,0.008
7014,0.686
7015,0.008
7016,0.932
7017,0.038
7018,0.408
7019,0.18
7020,0.038
7021,0.82
7022,0.906
7023,0.472
7024,0.724
7025,0
7026,0.682
7027,0
7028,0
7029,0.002
7030,0.514
7031,0
7032,0.368
7033,0
7034,0.36
7035,0.458
7036,0.106
7037,0.944
7038,0.246
7039,0.25
7040,0.008
7041,0
7042,0
7043,0.098
7044,0.412
7045,0.256
7046,0.002
7047,0.938
7048,0.774
7049,0.156
7050,0.006
7051,0.05
7052,0.2
7053,0.076
7054,0
7055,0.006
7056,0.29
7057,0.196
7058,0.248
7059,0.02
7060,0.002
7061,0.862
7062,0.06
7063,0
7064,0.038
7065,0.202
7066,0.512
7067,0.038
7068,0
7069,0.004
7070,0.126
7071,0.458
7072,0.974
7073,0.832
7074,0.01
7075,0.15
7076,0.018
7077,0
7078,0.116
7079,0.248
7080,0.004
7081,0.318
7082,0.822
7083,0
7084,0.874
7085,0.004
7086,0.006
7087,0.292
7088,0
7089,0.724
7090,0.164
7091,0
7092,0.04
7093,0.026
7094,0
7095,0.674
7096,0.018
7097,0.808
7098,0.006
7099,0
7100,0.004
7101,0
7102,0.006
7103,0.418
7104,0.022
7105,0
7106,0.072
7107,0.002
7108,0.044
7109,0.002
7110,0.016
7111,0.124
7112,0.042
7113,0.226
7114,0
7115,0.004
7116,0.484
7117,0.004
7118,0.172
7119,0
7120,0.968
7121,0.27
7122,0.062
7123,0.216
7124,0.192
7125,0
7126,0.136
7127,0
7128,0.12
7129,0.036
7130,0.004
7131,0.996
7132,0.392
7133,0.046
7134,0.03
7135,0.014
7136,0.246
7137,0.032
7138,0.468
7139,0.008
7140,0.176
7141,0.624
7142,0.004
7143,0.098
7144,0
7145,0.48
7146,0.024
7147,0
7148,0.676
7149,0.002
7150,0.866
7151,0.496
7152,0.064
7153,0.24
7154,0.018
7155,0.042
7156,0.022
7157,0
7158,0.298
7159,0
7160,0.02
7161,0
7162,0.072
7163,0.094
7164,0.002
7165,0
7166,0.034
7167,0
7168,0.008
7169,0.032
7170,0.002
7171,0
7172,0.012
7173,0
7174,0
7175,0.174
7176,0.348
7177,0.042
7178,0.882
7179,0.008
7180,0.664
7181,0.37
7182,0.03
7183,0.004
7184,0.002
7185,0.95
7186,0.486
7187,0
7188,0.568
7189,0.006
7190,0.122
7191,0.04
7192,0.026
7193,0
7194,0.034
7195,0.002
7196,0.152
7197,0.012
7198,0.026
7199,0
7200,0.006
7201,0
7202,0.176
7203,0.138
7204,0
7205,0
7206,0.19
7207,0.026
7208,0.894
7209,0.26
7210,0.284
7211,0.102
7212,0.03
7213,0.206
7214,0.162
7215,0.004
7216,0.058
7217,0.118
7218,0.94
7219,0
7220,0.358
7221,0.008
7222,0.07
7223,0.004
7224,0.002
7225,0.414
7226,0
7227,0.082
7228,0.03
7229,0.904
7230,0.596
7231,0
7232,0.328
7233,0.128
7234,0.49
7235,0.018
7236,0.09
7237,0
7238,0.938
7239,0
7240,0.002
7241,0
7242,0.958
7243,0.052
7244,0
7245,0.048
7246,0.012
7247,0
7248,0.622
7249,0
7250,0.484
7251,0.082
7252,0.054
7253,0
7254,0.428
7255,0.468
7256,0.356
7257,0.026
7258,0.78
7259,0.046
7260,0
7261,0.016
7262,0.21
7263,0.114
7264,0.3
7265,0.45
7266,0.392
7267,0
7268,0.504
7269,0
7270,0
7271,0.058
7272,0.004
7273,0.03
7274,0.168
7275,0.124
7276,0.018
7277,0.052
7278,0.006
7279,0.038
7280,0.186
7281,0.002
7282,0.418
7283,0.104
7284,0.012
7285,0.348
7286,0.376
7287,0
7288,0.68
7289,0
7290,0.99
7291,0.174
7292,0.058
7293,0.052
7294,0.054
7295,0.008
7296,0.002
7297,0.002
7298,0.1
7299,0.238
7300,0.002
7301,0.078
7302,0.09
7303,0.004
7304,0.01
7305,0
7306,0.05
7307,0.634
7308,0.984
7309,0.092
7310,0.094
7311,0.178
7312,0.45
7313,0.046
7314,0.652
7315,0.084
7316,0.19
7317,0.262
7318,0.002
7319,0.014
7320,0.01
7321,0.004
7322,0.02
7323,0.062
7324,0.002
7325,0.002
7326,0.008
7327,0
7328,0
7329,0.026
7330,0.246
7331,0
7332,0.03
7333,0.058
7334,0.064
7335,0.022
7336,0.002
7337,0.26
7338,0.002
7339,0.002
7340,0
7341,0
7342,0.31
7343,0.008
7344,0.854
7345,0
7346,0.028
7347,0.012
7348,0
7349,0.85
7350,0.118
7351,0.13
7352,0
7353,0
7354,0.096
7355,0.448
7356,0.04
7357,0.778
7358,0.008
7359,0.05
7360,0.002
7361,0
7362,0.002
7363,0.004
7364,0.076
7365,0
7366,0
7367,0.112
7368,0.042
7369,0.002
7370,0.004
7371,0
7372,0
7373,0.008
7374,0.038
7375,0.626
7376,0.158
7377,0.152
7378,0
7379,0.094
7380,0.022
7381,0.004
7382,0.54
7383,0
7384,0.026
7385,0
7386,0.158
7387,0.226
7388,0.002
7389,0.224
7390,0.058
7391,0
7392,0.006
7393,0.804
7394,0.02
7395,0
7396,0.104
7397,0.092
7398,0
7399,0
7400,0.004
7401,0.118
7402,0.002
7403,0.164
7404,0.128
7405,0.208
7406,0.016
7407,0
7408,0.01
7409,0
7410,0.012
7411,0.942
7412,0.276
7413,0.202
7414,0
7415,0.734
7416,0.284
7417,0.102
7418,0.014
7419,0.252
7420,0.002
7421,0
7422,0
7423,0.01
7424,0.052
7425,0
7426,0.014
7427,0.028
7428,0.006
7429,0.404
7430,0.886
7431,0
7432,0
7433,0.252
7434,0.072
7435,0.004
7436,0.078
7437,0.544
7438,0.246
7439,0.194
7440,0.252
7441,0.022
7442,0.002
7443,0.206
7444,0
7445,0.726
7446,0
7447,0.308
7448,0
7449,0.156
7450,0
7451,0
7452,0
7453,0
7454,0.02
7455,0.034
7456,0
7457,0.002
7458,0
7459,0.468
7460,0
7461,0
7462,0
7463,0.048
7464,0
7465,0.024
7466,0.008
7467,0.008
7468,0.192
7469,0.006
7470,0.714
7471,0.296
7472,0.058
7473,0.494
7474,0.966
7475,0.288
7476,0.328
7477,0.026
7478,0.144
7479,0
7480,0.186
7481,0.052
7482,0
7483,0
7484,0.018
7485,0.016
7486,0
7487,0.1
7488,0.02
7489,0.004
7490,0.102
7491,0.002
7492,0
7493,0.008
7494,0.108
7495,0.78
7496,0.968
7497,0.248
7498,0.636
7499,0.002
7500,0.468
7501,0.006
7502,0.904
7503,0.752
7504,0
7505,0.626
7506,0.15
7507,0.288
7508,0.018
7509,0.976
7510,0
7511,0.48
7512,0.008
7513,0.772
7514,0.126
7515,0
7516,0.01
7517,0.002
7518,0
7519,0.952
7520,0.726
7521,0.228
7522,0
7523,0.08
7524,0.218
7525,0.016
7526,0.372
7527,0.99
7528,0.354
7529,0.28
7530,0
7531,0.328
7532,0.204
7533,0.888
7534,0.92
7535,0.588
7536,0.672
7537,0.036
7538,0.922
7539,0.24
7540,0.054
7541,0.486
7542,0.804
7543,0.002
7544,0.764
7545,0
7546,0.004
7547,0
7548,0.002
7549,0.06
7550,0
7551,0.154
7552,0
7553,0.002
7554,0.002
7555,0.934
7556,0.01
7557,0.114
7558,0.786
7559,0.222
7560,0.004
7561,0.628
7562,0.104
7563,0.028
7564,0
7565,0.042
7566,0.012
7567,0.006
7568,0.022
7569,0.288
7570,0
7571,0.046
7572,0.538
7573,0.33
7574,0.078
7575,0
7576,0
7577,0
7578,0.434
7579,0
7580,0
7581,0.182
7582,0.006
7583,0.086
7584,0.804
7585,0.74
7586,0.466
7587,0.002
7588,0.014
7589,0
7590,0
7591,0.01
7592,0.002
7593,0
7594,0.042
7595,0.006
7596,0.144
7597,0.008
7598,0.002
7599,0.026
7600,0.15
7601,0.014
7602,0.022
7603,0.012
7604,0
7605,0.054
7606,0.02
7607,0
7608,0.002
7609,0.002
7610,0
7611,0.338
7612,0.012
7613,0
7614,0.902
7615,0.166
7616,0.068
7617,0.114
7618,0.008
7619,0.682
7620,0.006
7621,0.736
7622,0.134
7623,0.028
7624,0
7625,0.066
7626,0
7627,0.414
7628,0.188
7629,0.218
7630,0.002
7631,0.094
7632,0
7633,0.082
7634,0.51
7635,0.988
7636,0.812
7637,0.126
7638,0
7639,0.494
7640,0.004
7641,0.006
7642,0.002
7643,0.134
7644,0.002
7645,0.008
7646,0.96
7647,0
7648,0
7649,0.918
