"UniqueID","Probability1"
6533,0.074
6534,0.308
6535,0.894
6536,0.308
6537,0.1
6538,0.884
6539,0.826
6540,0.022
6541,0.11
6542,0.002
6543,0
6544,0.684
6545,0
6546,0.05
6547,0
6548,0.896
6549,0.88
6550,0.206
6551,0.336
6552,0.004
6553,0.038
6554,0.21
6555,0.994
6556,0
6557,0
6558,0.356
6559,0
6560,0.886
6561,0.588
6562,0.05
6563,0.006
6564,0
6565,0
6566,0.144
6567,0.064
6568,0.9
6569,0.838
6570,0
6571,0.102
6572,0.738
6573,0.55
6574,0.998
6575,0.016
6576,0.804
6577,0
6578,0.002
6579,0.004
6580,0
6581,0.82
6582,0.004
6583,0
6584,0.352
6585,0
6586,0.144
6587,0.234
6588,0.002
6589,0
6590,0.13
6591,0.648
6592,0.036
6593,0
6594,0.018
6595,0.002
6596,0.002
6597,0.008
6598,0
6599,0
6600,0.776
6601,0.186
6602,0
6603,0.002
6604,0.01
6605,0.158
6606,0.886
6607,0.002
6608,0.664
6609,0.148
6610,0
6611,0.028
6612,0.282
6613,0.002
6614,0
6615,0
6616,0.044
6617,0.168
6618,0.146
6619,0.202
6620,0.002
6621,0.002
6622,0.032
6623,0
6624,0.206
6625,0.006
6626,0
6627,0
6628,0.01
6629,0.108
6630,0
6631,0.146
6632,0.332
6633,0.912
6634,0.062
6635,0.37
6636,0.324
6637,0.338
6638,0.322
6639,0.3
6640,0.218
6641,0.282
6642,0.252
6643,0.298
6644,0.316
6645,0.048
6646,0.38
6647,0.054
6648,0.062
6649,0.328
6650,0.898
6651,0
6652,0
6653,0.038
6654,0
6655,0.58
6656,0.124
6657,0
6658,0.016
6659,0.02
6660,0.556
6661,0.002
6662,0
6663,0
6664,0.21
6665,0.006
6666,0.222
6667,0.028
6668,0.014
6669,0.006
6670,0.72
6671,0.93
6672,0.01
6673,0.108
6674,0.042
6675,0.034
6676,0
6677,0
6678,0.032
6679,0
6680,0.888
6681,0
6682,0.008
6683,0.19
6684,0.38
6685,0.002
6686,0.022
6687,0.008
6688,0.922
6689,0.002
6690,0.046
6691,0.22
6692,0.24
6693,0
6694,0.794
6695,0.052
6696,0
6697,0.68
6698,0.01
6699,0.216
6700,0.002
6701,0.734
6702,0
6703,0.054
6704,0.016
6705,0.034
6706,0
6707,0.04
6708,0
6709,0.01
6710,0.004
6711,0.058
6712,0.006
6713,0.012
6714,0.16
6715,0.002
6716,0
6717,0
6718,0.294
6719,0.044
6720,0.704
6721,0
6722,0
6723,0.548
6724,0.118
6725,0.608
6726,0.104
6727,0.186
6728,0.932
6729,0.008
6730,0
