"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
".*Fashion Week::" "" ".*Fashion Week::" "" ".*Fashion Week::.*Fashion Week::" "" ".*Fashion Week::" "N" 1
"19[0-9][0-9]::" "" "19[0-9][0-9]::" "" "19[0-9][0-9]::19[0-9][0-9]::" "" "19[0-9][0-9]::" "N" 9
"19[0-9][0-9]::" "" "19[0-9][0-9]::" "" "19[0-9][0-9]::19[0-9][0-9]::" "" "19[0-9][0-9]::" NA 4
"6 Q's About the News::" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" "N" 61
"6 Q's About the News::" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" NA 15
"Business" "" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 12
"Business" "" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" NA 1
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 1
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 3
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" NA 1
"Business" "" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "N" 1
"Business" "" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" NA 4
"Business" "" "Technology" "Technology" "Business::Technology" "" "myMisc::" NA 1
"Business" "Business" "Business" "" "Business::Business" "" "myTech::" "N" 4
"Business" "Business" "Business" "" "Business::Business" "" "myTech::" "Y" 1
"Business" "Business" "Business Day" "" "Small Business" "" "Today in Small Business::" NA 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" "N" 62
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" NA 16
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "N" 788
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "Y" 83
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 272
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" "N" 14
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" "Y" 5
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" NA 3
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 75
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "Y" 5
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 23
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myTech::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myTech::" NA 1
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" "N" 58
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" NA 13
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myFood::" "Y" 1
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "N" 19
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "Y" 101
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" NA 38
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myTech::" "Y" 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily Report::" "N" 60
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily Report::" NA 18
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myFood::" "N" 1
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "N" 155
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "Y" 32
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" NA 75
