"myCategory" "NewsDesk" "SectionName" "SubsectionName" "N" "Y" "NA"
"OpEd#Opinion#" "OpEd" "Opinion" "" 113 407 141
"Science#Health#" "Science" "Health" "" 73 119 55
"##" "" "" "" 1163 110 338
"Business#Crosswords/Games#" "Business" "Crosswords/Games" "" 19 103 38
"Styles#U.S.#" "Styles" "U.S." "" 77 100 62
"Business#Business Day#Dealbook" "Business" "Business Day" "Dealbook" 864 88 291
"Culture#Arts#" "Culture" "Arts" "" 625 50 163
"Business#Technology#" "Business" "Technology" "" 280 50 111
"Metro#N.Y. / Region#" "Metro" "N.Y. / Region" "" 181 17 64
"#Opinion#The Public Editor" "" "Opinion" "The Public Editor" 4 16 10
"TStyle##" "TStyle" "" "" 715 9 105
"#Opinion#Room For Debate" "" "Opinion" "Room For Debate" 69 7 24
"Business#Business Day#Small Business" "Business" "Business Day" "Small Business" 134 5 38
"Foreign#World#Asia Pacific" "Foreign" "World" "Asia Pacific" 200 3 55
"#Multimedia#" "" "Multimedia" "" 139 2 52
"Science#Health#" "Science" "" "" 0 2 2
"Travel#Travel#" "Travel" "Travel" "" 115 1 31
"OpEd#Opinion#" "OpEd" "" "" 0 1 18
"Styles##Fashion" "Styles" "" "" 116 1 15
"Business#Technology#" "Business" "" "" 4 1 0
"Science#Health#" "" "Health" "" 0 1 0
"#U.S.#Education" "" "U.S." "Education" 325 0 90
"Culture#Arts#" "Culture" "" "" 1 0 70
"Foreign#World#" "Foreign" "" "" 163 0 46
"Business#Business Day#Dealbook" "" "Business Day" "Dealbook" 0 0 13
"Culture#Arts#" "" "Arts" "" 0 0 11
"OpEd#Opinion#" "" "Opinion" "" 2 0 5
"Business#Business Day#Small Business" "" "Business Day" "Small Business" 1 0 4
"Business#Crosswords/Games#" "" "Crosswords/Games" "" 1 0 4
"Travel#Travel#" "" "Travel" "" 1 0 4
"Metro#N.Y. / Region#" "" "N.Y. / Region" "" 0 0 3
"myOther" "Magazine" "Magazine" "" 31 0 3
"Business#Technology#" "" "Open" "" 4 0 1
"Business#Technology#" "" "Technology" "" 0 0 1
"Foreign#World#" "Foreign" "World" "" 9 0 1
"Foreign#World#Asia Pacific" "" "World" "Asia Pacific" 0 0 1
"myOther" "" "U.S." "" 1 0 0
"myOther" "National" "" "" 2 0 0
"myOther" "National" "U.S." "Politics" 2 0 0
"myOther" "Sports" "" "" 1 0 0
"myOther" "Sports" "Sports" "" 1 0 0
"Science#Health#" "Styles" "Health" "" 1 0 0
"Styles##Fashion" "Styles" "Style" "Fashion & Style" 2 0 0
