"UniqueID","Probability1"
6533,0.054
6534,0.27
6535,0.884
6536,0.32
6537,0.082
6538,0.886
6539,0.86
6540,0.036
6541,0.142
6542,0
6543,0
6544,0.734
6545,0
6546,0.072
6547,0
6548,0.886
6549,0.89
6550,0.246
6551,0.382
6552,0.006
6553,0.058
6554,0.236
6555,0.994
6556,0.002
6557,0
6558,0.35
6559,0
6560,0.892
6561,0.588
6562,0.058
6563,0.002
6564,0.002
6565,0
6566,0.154
6567,0.186
6568,0.916
6569,0.862
6570,0
6571,0.134
6572,0.732
6573,0.568
6574,0.998
6575,0.02
6576,0.828
6577,0
6578,0
6579,0.002
6580,0
6581,0.834
6582,0
6583,0
6584,0.418
6585,0.006
6586,0.17
6587,0.214
6588,0.002
6589,0.002
6590,0.162
6591,0.688
6592,0.018
6593,0.002
6594,0.016
6595,0
6596,0.008
6597,0.01
6598,0
6599,0
6600,0.766
6601,0.14
6602,0
6603,0
6604,0.002
6605,0.166
6606,0.882
6607,0
6608,0.696
6609,0.11
6610,0
6611,0.016
6612,0.328
6613,0
6614,0
6615,0
6616,0.038
6617,0.126
6618,0.138
6619,0.152
6620,0.002
6621,0.004
6622,0.052
6623,0
6624,0.204
6625,0.01
6626,0
6627,0
6628,0.01
6629,0.078
6630,0.002
6631,0.144
6632,0.318
6633,0.884
6634,0.06
6635,0.372
6636,0.306
6637,0.332
6638,0.318
6639,0.338
6640,0.182
6641,0.3
6642,0.22
6643,0.306
6644,0.34
6645,0.028
6646,0.422
6647,0.044
6648,0.1
6649,0.324
6650,0.856
6651,0
6652,0.002
6653,0.048
6654,0.004
6655,0.516
6656,0.132
6657,0
6658,0.014
6659,0.016
6660,0.556
6661,0
6662,0
6663,0
6664,0.22
6665,0.006
6666,0.17
6667,0.044
6668,0.006
6669,0.004
6670,0.754
6671,0.942
6672,0
6673,0.106
6674,0.044
6675,0.016
6676,0.002
6677,0.002
6678,0.028
6679,0
6680,0.862
6681,0
6682,0.01
6683,0.162
6684,0.356
6685,0.006
6686,0.04
6687,0.008
6688,0.908
6689,0
6690,0.032
6691,0.212
6692,0.31
6693,0
6694,0.746
6695,0.06
6696,0
6697,0.612
6698,0.004
6699,0.238
6700,0.004
6701,0.714
6702,0.002
6703,0.054
6704,0.006
6705,0.036
6706,0
6707,0.018
6708,0
6709,0.01
6710,0
6711,0.044
6712,0.008
6713,0.02
6714,0.148
6715,0.004
6716,0
6717,0
6718,0.312
6719,0.042
6720,0.694
6721,0
6722,0.004
6723,0.59
6724,0.134
6725,0.598
6726,0.106
6727,0.166
6728,0.908
6729,0.01
6730,0
6731,0.48
6732,0
6733,0.002
6734,0.05
6735,0.048
6736,0
6737,0.032
6738,0.262
6739,0.502
6740,0
6741,0.282
6742,0
6743,0
6744,0.008
6745,0.196
6746,0.002
6747,0
6748,0.07
6749,0.038
6750,0.942
6751,0.002
6752,0.336
6753,0.516
6754,0.008
6755,0.002
6756,0.052
6757,0.558
6758,0.336
6759,0.002
6760,0.044
6761,0.022
6762,0
6763,0.436
6764,0.888
6765,0.022
6766,0.004
6767,0
6768,0.04
6769,0.016
6770,0.02
6771,0.064
6772,0.164
6773,0
6774,0
6775,0.644
6776,0.064
6777,0.002
6778,0.002
6779,0.138
6780,0.926
6781,0.048
6782,0.156
6783,0
6784,0
6785,0.042
6786,0.008
6787,0.852
6788,0.11
6789,0.06
6790,0.152
6791,0.004
6792,0
6793,0.136
6794,0
6795,0.022
6796,0
6797,0.042
6798,0.032
6799,0.008
6800,0.02
6801,0.028
6802,0.096
6803,0.004
6804,0
6805,0.002
6806,0.004
6807,0.978
6808,0.984
6809,0.016
6810,0.892
6811,0.026
6812,0.036
6813,0
6814,0.008
6815,0.122
6816,0.096
6817,0.084
6818,0.034
6819,0.852
6820,0.01
6821,0.084
6822,0.08
6823,0.112
6824,0.662
6825,0.96
6826,0.002
6827,0.008
6828,0.004
6829,0.05
6830,0.036
6831,0.122
6832,0.006
6833,0
6834,0
6835,0.906
6836,0.008
6837,0.206
6838,0.004
6839,0
6840,0.038
6841,0
6842,0.006
6843,0
6844,0.912
6845,0.95
6846,0
6847,0.402
6848,0.058
6849,0.048
6850,0.266
6851,0
6852,0.796
6853,0
6854,0
6855,0.004
6856,0.014
6857,0.022
6858,0
6859,0.786
6860,0.632
6861,0
6862,0.074
6863,0.414
6864,0.51
6865,0.012
6866,0.666
6867,0.05
6868,0
6869,0.652
6870,0.154
6871,0
6872,0.022
6873,0.25
6874,0.076
6875,0.008
6876,0.002
6877,0.028
6878,0.29
6879,0.038
6880,0
6881,0.194
6882,0
6883,0.004
6884,0
6885,0.95
6886,0.024
6887,0
6888,0.188
6889,0.02
6890,0.002
6891,0.106
6892,0.022
6893,0.04
6894,0
6895,0.002
6896,0
6897,0.01
6898,0.024
6899,0.006
6900,0
6901,0
6902,0.002
6903,0.24
6904,0.938
6905,0.01
6906,0.01
6907,0.18
6908,0
6909,0.16
6910,0
6911,0.002
6912,0
6913,0.266
6914,0.14
6915,0.006
6916,0.002
6917,0
6918,0.458
6919,0
6920,0.22
6921,0.95
6922,0.034
6923,0.252
6924,0.074
6925,0.614
6926,0
6927,0.776
6928,0.002
6929,0.004
6930,0.004
6931,0.038
6932,0
6933,0
6934,0.798
6935,0.48
6936,0.004
6937,0.016
6938,0.054
6939,0.008
6940,0.788
6941,0.186
6942,0.002
6943,0.816
6944,0.002
6945,0.002
6946,0.228
6947,0.026
6948,0
6949,0.004
6950,0.198
6951,0.328
6952,0.01
6953,0.594
6954,0.042
6955,0.068
6956,0.704
6957,0.02
6958,0
6959,0
6960,0.522
6961,0.048
6962,0.008
6963,0.154
6964,0
6965,0.126
6966,0.108
6967,0.956
6968,0.428
6969,0
6970,0
6971,0.182
6972,0.666
6973,0.012
6974,0.002
6975,0.066
6976,0.134
6977,0
6978,0
6979,0.214
6980,0.004
6981,0
6982,0.07
6983,0
6984,0
6985,0.016
6986,0.024
6987,0.036
6988,0
6989,0.012
6990,0.874
6991,0.026
6992,0
6993,0.002
6994,0.062
6995,0.002
6996,0.004
6997,0.014
6998,0.008
6999,0
7000,0.05
7001,0.042
7002,0.884
7003,0.852
7004,0.02
7005,0.914
7006,0
7007,0
7008,0.058
7009,0.946
7010,0
7011,0.058
7012,0.954
7013,0.014
7014,0.67
7015,0.014
7016,0.908
7017,0.036
7018,0.396
7019,0.216
7020,0.048
7021,0.802
7022,0.918
7023,0.49
7024,0.736
7025,0
7026,0.704
7027,0
7028,0
7029,0
7030,0.576
7031,0
7032,0.288
7033,0.002
7034,0.358
7035,0.464
7036,0.12
7037,0.904
7038,0.286
7039,0.21
7040,0.01
7041,0
7042,0
7043,0.098
7044,0.602
7045,0.306
7046,0.002
7047,0.932
7048,0.75
7049,0.158
7050,0.01
7051,0.05
7052,0.212
7053,0.096
7054,0
7055,0.002
7056,0.252
7057,0.192
7058,0.214
7059,0.026
7060,0
7061,0.856
7062,0.076
7063,0
7064,0.016
7065,0.184
7066,0.448
7067,0.022
7068,0
7069,0.006
7070,0.126
7071,0.442
7072,0.978
7073,0.824
7074,0
7075,0.098
7076,0.018
7077,0
7078,0.132
