"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
"Business" "" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 12
"Business" "" "Business Day" "Business Day" "Dealbook" "Dealbook" "myTech::" NA 1
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 1
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 3
"Business" "" "Business Day" "Business Day" "Small Business" "Small Business" "Today in Small Business::" NA 1
"Business" "" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "N" 1
"Business" "" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" NA 4
"Business" "" "Technology" "" "Business::Technology" "" "myTech::" "N" 3
"Business" "" "Technology" "Technology" "Business::Technology" "" "myMisc::" NA 1
"Business" "Business" "Business Day" "" "Small Business" "" "Today in Small Business::" NA 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" "N" 62
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" NA 16
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myEducation::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myEducation::" "Y" 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myEducation::" NA 3
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myFood::" "N" 6
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myFood::" NA 2
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "N" 779
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "Y" 80
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 265
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMultimedia::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMultimedia::" NA 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myPolitics::" "N" 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myPolitics::" "Y" 2
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myPolitics::" NA 1
