"UniqueID","Probability1"
6533,0.054
6534,0.3
6535,0.898
6536,0.288
6537,0.08
6538,0.876
6539,0.846
6540,0.018
6541,0.108
6542,0
6543,0
6544,0.73
6545,0
6546,0.08
6547,0
6548,0.862
6549,0.87
6550,0.218
6551,0.398
6552,0.016
6553,0.022
6554,0.238
6555,0.994
6556,0
6557,0
6558,0.374
6559,0
6560,0.882
6561,0.574
6562,0.072
6563,0.008
6564,0.002
6565,0
6566,0.146
6567,0.11
6568,0.912
6569,0.862
6570,0.002
6571,0.122
6572,0.726
6573,0.564
6574,0.998
6575,0.022
6576,0.792
6577,0
6578,0.004
6579,0.006
6580,0.002
6581,0.876
6582,0.004
6583,0
6584,0.372
6585,0.004
6586,0.14
6587,0.302
6588,0.004
6589,0
6590,0.152
6591,0.67
6592,0.042
6593,0
6594,0.01
6595,0
6596,0.004
6597,0.004
6598,0
6599,0
6600,0.76
6601,0.182
6602,0
6603,0.004
6604,0.02
6605,0.156
6606,0.876
6607,0
6608,0.684
6609,0.124
6610,0
6611,0.02
6612,0.268
6613,0
6614,0.004
6615,0
6616,0.036
6617,0.164
6618,0.16
6619,0.174
6620,0
6621,0.008
6622,0.044
6623,0
6624,0.206
6625,0.002
6626,0
6627,0
6628,0.012
6629,0.088
6630,0.002
6631,0.18
6632,0.316
6633,0.904
6634,0.086
6635,0.336
6636,0.298
6637,0.35
6638,0.332
6639,0.374
6640,0.172
6641,0.21
6642,0.218
6643,0.276
6644,0.244
6645,0.034
6646,0.394
6647,0.066
6648,0.07
6649,0.34
6650,0.878
6651,0
6652,0
6653,0.052
6654,0
6655,0.56
6656,0.14
6657,0
6658,0.032
6659,0.034
6660,0.586
6661,0
6662,0
6663,0
6664,0.174
6665,0.004
6666,0.19
6667,0.028
6668,0.01
6669,0.006
6670,0.79
6671,0.932
6672,0
6673,0.116
6674,0.04
6675,0.03
6676,0
6677,0.004
6678,0.02
6679,0
6680,0.844
6681,0
6682,0.008
6683,0.16
6684,0.366
6685,0.002
6686,0.02
6687,0.008
6688,0.906
6689,0.002
6690,0.024
6691,0.192
6692,0.2
6693,0
6694,0.796
6695,0.056
6696,0
6697,0.656
6698,0.012
6699,0.224
6700,0
6701,0.71
6702,0.002
6703,0.064
6704,0.01
6705,0.01
6706,0
6707,0.024
6708,0
6709,0.008
6710,0.012
6711,0.044
6712,0.002
6713,0.02
6714,0.146
6715,0.004
6716,0
6717,0
6718,0.3
6719,0.046
6720,0.692
6721,0
6722,0
6723,0.574
6724,0.146
6725,0.602
6726,0.098
6727,0.184
6728,0.918
6729,0.006
6730,0
6731,0.502
6732,0
6733,0.004
6734,0.06
6735,0.076
6736,0.002
6737,0.024
6738,0.242
6739,0.524
6740,0
6741,0.26
6742,0
6743,0
6744,0.014
6745,0.202
6746,0
6747,0
6748,0.08
6749,0.03
6750,0.884
6751,0
6752,0.358
6753,0.53
6754,0.006
6755,0.002
6756,0.048
6757,0.524
6758,0.342
6759,0.006
6760,0.042
6761,0.03
6762,0
6763,0.404
6764,0.908
6765,0.016
6766,0.006
6767,0.002
6768,0.032
6769,0.016
6770,0.014
6771,0.06
6772,0.17
6773,0.002
6774,0
6775,0.638
6776,0.036
6777,0
6778,0.01
6779,0.106
6780,0.944
6781,0.042
6782,0.114
6783,0
6784,0
6785,0.04
6786,0.004
6787,0.866
6788,0.112
6789,0.088
6790,0.142
6791,0
6792,0
6793,0.124
6794,0
6795,0.016
6796,0
6797,0.036
6798,0.02
6799,0.002
6800,0.022
6801,0.046
6802,0.084
6803,0.002
6804,0
6805,0.002
6806,0
6807,0.974
6808,0.988
6809,0.008
6810,0.884
6811,0.03
6812,0.04
6813,0
6814,0.014
6815,0.148
6816,0.246
6817,0.078
6818,0.046
6819,0.828
6820,0.016
6821,0.09
6822,0.042
6823,0.088
6824,0.7
6825,0.968
6826,0
6827,0.014
6828,0.002
6829,0.052
6830,0.032
6831,0.096
6832,0.004
6833,0
6834,0
6835,0.922
6836,0.004
6837,0.242
6838,0.014
6839,0
6840,0.032
6841,0.004
6842,0.004
6843,0
6844,0.898
6845,0.938
6846,0
6847,0.394
6848,0.05
6849,0.03
6850,0.23
6851,0
6852,0.84
6853,0
6854,0
6855,0.006
6856,0.026
6857,0.018
6858,0
6859,0.794
6860,0.694
6861,0
6862,0.054
6863,0.416
6864,0.484
6865,0.01
6866,0.728
6867,0.068
6868,0
6869,0.646
6870,0.086
6871,0
6872,0.04
6873,0.21
6874,0.066
6875,0.008
6876,0
6877,0.012
6878,0.34
6879,0.066
6880,0
6881,0.142
6882,0
6883,0
6884,0.002
6885,0.952
6886,0.022
6887,0
6888,0.2
6889,0.028
6890,0
6891,0.094
6892,0.018
6893,0.032
6894,0
6895,0
6896,0
6897,0.006
6898,0.014
6899,0.002
6900,0
6901,0
6902,0.002
6903,0.258
6904,0.94
6905,0.016
6906,0.006
6907,0.172
6908,0.002
6909,0.126
6910,0.004
6911,0.014
6912,0
6913,0.32
6914,0.18
6915,0.01
6916,0
6917,0.002
6918,0.49
6919,0
6920,0.252
6921,0.962
6922,0.044
6923,0.278
6924,0.058
6925,0.616
6926,0
6927,0.726
6928,0.002
6929,0.006
6930,0.002
6931,0.054
6932,0
6933,0
6934,0.798
6935,0.438
6936,0
6937,0.016
6938,0.046
6939,0.012
6940,0.806
6941,0.148
6942,0.002
6943,0.848
6944,0
6945,0
6946,0.224
6947,0.01
6948,0
6949,0.006
6950,0.174
6951,0.312
6952,0.002
6953,0.602
6954,0.038
6955,0.05
6956,0.668
6957,0.028
6958,0.002
6959,0
6960,0.462
6961,0.054
6962,0
6963,0.518
6964,0.002
6965,0.116
6966,0.126
6967,0.938
6968,0.448
6969,0
6970,0
6971,0.184
6972,0.602
6973,0.006
6974,0.002
6975,0.04
6976,0.108
6977,0
6978,0
6979,0.212
6980,0
6981,0
6982,0.046
6983,0.006
6984,0
6985,0.024
6986,0.026
6987,0.034
6988,0
6989,0.002
6990,0.832
6991,0.02
6992,0
6993,0
6994,0.062
6995,0
6996,0.006
6997,0.01
6998,0.006
6999,0
7000,0.066
7001,0.068
7002,0.888
7003,0.79
7004,0.038
7005,0.892
7006,0.002
7007,0
7008,0.044
7009,0.948
7010,0
7011,0.036
7012,0.962
7013,0.008
7014,0.702
7015,0.006
7016,0.904
7017,0.046
7018,0.43
7019,0.234
7020,0.038
7021,0.824
7022,0.908
7023,0.548
7024,0.758
7025,0
7026,0.68
7027,0
7028,0
7029,0
7030,0.544
7031,0
7032,0.306
7033,0.006
7034,0.384
7035,0.424
7036,0.094
7037,0.926
7038,0.258
7039,0.242
7040,0.006
7041,0
7042,0
7043,0.1
7044,0.432
7045,0.218
7046,0
7047,0.932
7048,0.758
7049,0.15
7050,0.008
7051,0.05
7052,0.196
7053,0.072
7054,0
7055,0.002
7056,0.246
7057,0.204
7058,0.25
7059,0.028
7060,0
7061,0.874
7062,0.056
7063,0
7064,0.028
7065,0.206
7066,0.474
7067,0.018
7068,0
7069,0
7070,0.1
7071,0.452
7072,0.976
7073,0.794
7074,0.002
7075,0.16
7076,0.016
7077,0.002
7078,0.128
7079,0.17
7080,0
7081,0.306
7082,0.804
7083,0
7084,0.862
7085,0
7086,0.016
7087,0.298
7088,0.002
7089,0.766
7090,0.198
7091,0
7092,0.026
7093,0.02
7094,0
7095,0.688
7096,0.02
7097,0.798
7098,0.012
7099,0
7100,0.002
7101,0
7102,0.002
7103,0.402
7104,0.032
7105,0.002
7106,0.07
7107,0.006
7108,0.038
7109,0.004
7110,0.02
7111,0.138
7112,0.024
7113,0.214
7114,0
