"UniqueID","Popular.fctr","Popular.fctr.predict.Conditional.X.glm.prob","Popular.fctr.predict.Conditional.X.glm","Popular.fctr.predict.Conditional.X.glm.accurate"
3,"N",2.22044604925031e-16,"N",TRUE
4,"Y",2.22044604925031e-16,"N",FALSE
6,"Y",1,"Y",TRUE
7,"N",1,"Y",FALSE
8,"Y",1,"Y",TRUE
10,"N",2.22044604925031e-16,"N",TRUE
15,"N",1,"Y",FALSE
16,"Y",1,"Y",TRUE
17,"N",1,"Y",FALSE
19,"N",2.22044604925031e-16,"N",TRUE
20,"N",1,"Y",FALSE
23,"N",2.22044604925031e-16,"N",TRUE
24,"N",1,"Y",FALSE
27,"N",2.22044604925031e-16,"N",TRUE
34,"N",2.22044604925031e-16,"N",TRUE
36,"Y",1,"Y",TRUE
42,"N",2.22044604925031e-16,"N",TRUE
46,"N",2.22044604925031e-16,"N",TRUE
50,"Y",1,"Y",TRUE
53,"N",2.22044604925031e-16,"N",TRUE
54,"N",2.22044604925031e-16,"N",TRUE
57,"Y",1,"Y",TRUE
58,"N",2.22044604925031e-16,"N",TRUE
59,"N",1,"Y",FALSE
66,"N",2.22044604925031e-16,"N",TRUE
69,"N",2.22044604925031e-16,"N",TRUE
77,"N",2.22044604925031e-16,"N",TRUE
79,"N",1,"Y",FALSE
80,"N",2.22044604925031e-16,"N",TRUE
84,"N",2.22044604925031e-16,"N",TRUE
85,"Y",1,"Y",TRUE
87,"Y",1,"Y",TRUE
92,"Y",2.22044604925031e-16,"N",FALSE
97,"N",2.22044604925031e-16,"N",TRUE
98,"Y",1,"Y",TRUE
101,"N",2.22044604925031e-16,"N",TRUE
106,"N",2.22044604925031e-16,"N",TRUE
109,"N",2.22044604925031e-16,"N",TRUE
116,"Y",2.22044604925031e-16,"N",FALSE
121,"N",2.22044604925031e-16,"N",TRUE
122,"N",2.22044604925031e-16,"N",TRUE
123,"Y",1,"Y",TRUE
126,"N",2.22044604925031e-16,"N",TRUE
127,"N",2.22044604925031e-16,"N",TRUE
130,"Y",2.22044604925031e-16,"N",FALSE
131,"Y",1,"Y",TRUE
134,"N",2.22044604925031e-16,"N",TRUE
137,"N",2.22044604925031e-16,"N",TRUE
139,"Y",1,"Y",TRUE
140,"N",2.22044604925031e-16,"N",TRUE
142,"N",2.22044604925031e-16,"N",TRUE
143,"N",2.22044604925031e-16,"N",TRUE
146,"N",2.22044604925031e-16,"N",TRUE
148,"N",2.22044604925031e-16,"N",TRUE
151,"N",2.22044604925031e-16,"N",TRUE
154,"N",2.22044604925031e-16,"N",TRUE
156,"Y",1,"Y",TRUE
161,"N",2.22044604925031e-16,"N",TRUE
164,"N",2.22044604925031e-16,"N",TRUE
166,"N",2.22044604925031e-16,"N",TRUE
170,"N",2.22044604925031e-16,"N",TRUE
171,"N",2.22044604925031e-16,"N",TRUE
179,"N",2.22044604925031e-16,"N",TRUE
188,"N",2.22044604925031e-16,"N",TRUE
189,"N",2.22044604925031e-16,"N",TRUE
195,"N",2.22044604925031e-16,"N",TRUE
201,"N",2.22044604925031e-16,"N",TRUE
204,"N",2.22044604925031e-16,"N",TRUE
209,"N",2.22044604925031e-16,"N",TRUE
212,"N",2.22044604925031e-16,"N",TRUE
218,"N",2.22044604925031e-16,"N",TRUE
221,"N",1,"Y",FALSE
223,"N",2.22044604925031e-16,"N",TRUE
225,"N",2.22044604925031e-16,"N",TRUE
