"UniqueID","Popular.fctr","Popular.fctr.predict.Conditional.X.no.rnorm.rf.prob","Popular.fctr.predict.Conditional.X.no.rnorm.rf","Popular.fctr.predict.Conditional.X.no.rnorm.rf.accurate"
31,"N",0.384,"N",TRUE
30,"N",0.09,"N",TRUE
29,"N",0.02,"N",TRUE
25,"N",0.216,"N",TRUE
24,"N",0.414,"Y",FALSE
22,"N",0.05,"N",TRUE
21,"N",0.018,"N",TRUE
18,"N",0.088,"N",TRUE
17,"N",0.662,"Y",FALSE
16,"Y",0.802,"Y",TRUE
12,"N",0.016,"N",TRUE
9,"Y",0.632,"Y",TRUE
8,"Y",0.504,"Y",TRUE
4,"Y",0.49,"Y",TRUE
115,"N",0.108,"N",TRUE
110,"N",0.126,"N",TRUE
106,"N",0.114,"N",TRUE
104,"Y",0.446,"Y",TRUE
100,"N",0.08,"N",TRUE
99,"N",0.254,"N",TRUE
96,"N",0.084,"N",TRUE
95,"Y",0.522,"Y",TRUE
94,"N",0.026,"N",TRUE
88,"N",0.026,"N",TRUE
85,"Y",0.778,"Y",TRUE
83,"N",0.082,"N",TRUE
76,"N",0.234,"N",TRUE
73,"N",0.022,"N",TRUE
72,"N",0.166,"N",TRUE
68,"N",0.012,"N",TRUE
57,"Y",0.37,"N",FALSE
56,"Y",0.408,"Y",TRUE
55,"N",0.098,"N",TRUE
52,"Y",0.656,"Y",TRUE
51,"N",0.008,"N",TRUE
46,"N",0.064,"N",TRUE
43,"N",0.084,"N",TRUE
37,"Y",0.304,"N",FALSE
35,"Y",0.998,"Y",TRUE
199,"N",0.012,"N",TRUE
198,"N",0.066,"N",TRUE
195,"N",0.01,"N",TRUE
194,"N",0.386,"N",TRUE
189,"N",0.03,"N",TRUE
186,"N",0.038,"N",TRUE
184,"N",0.002,"N",TRUE
182,"N",0.156,"N",TRUE
181,"N",0.114,"N",TRUE
179,"N",0.016,"N",TRUE
174,"N",0.15,"N",TRUE
172,"Y",0.04,"N",FALSE
170,"N",0.002,"N",TRUE
167,"N",0.386,"N",TRUE
163,"Y",0.16,"N",FALSE
162,"N",0.006,"N",TRUE
160,"N",0.07,"N",TRUE
158,"N",0.162,"N",TRUE
157,"Y",0.654,"Y",TRUE
156,"Y",0.622,"Y",TRUE
151,"N",0.224,"N",TRUE
150,"N",0.368,"N",TRUE
146,"N",0.012,"N",TRUE
139,"Y",0.08,"N",FALSE
135,"N",0.018,"N",TRUE
134,"N",0.07,"N",TRUE
126,"N",0.002,"N",TRUE
301,"N",0.14,"N",TRUE
299,"N",0.012,"N",TRUE
294,"N",0.004,"N",TRUE
290,"N",0.014,"N",TRUE
284,"N",0.156,"N",TRUE
281,"N",0.004,"N",TRUE
279,"N",0.078,"N",TRUE
277,"N",0.014,"N",TRUE
272,"N",0.012,"N",TRUE
270,"N",0,"N",TRUE
265,"N",0.048,"N",TRUE
263,"N",0.618,"Y",FALSE
260,"N",0.008,"N",TRUE
256,"N",0.004,"N",TRUE
252,"Y",0.236,"N",FALSE
251,"N",0.006,"N",TRUE
248,"N",0.016,"N",TRUE
247,"N",0,"N",TRUE
246,"N",0.034,"N",TRUE
239,"N",0.022,"N",TRUE
238,"Y",0.606,"Y",TRUE
237,"N",0.008,"N",TRUE
230,"N",0.056,"N",TRUE
226,"N",0.03,"N",TRUE
224,"N",0,"N",TRUE
222,"N",0.006,"N",TRUE
218,"N",0.15,"N",TRUE
216,"N",0.002,"N",TRUE
214,"N",0.362,"N",TRUE
202,"Y",0.988,"Y",TRUE
393,"Y",0.498,"Y",TRUE
392,"N",0,"N",TRUE
390,"N",0.09,"N",TRUE
389,"N",0.002,"N",TRUE
382,"N",0.056,"N",TRUE
367,"N",0,"N",TRUE
361,"Y",0.92,"Y",TRUE
359,"N",0.268,"N",TRUE
347,"N",0.004,"N",TRUE
346,"N",0.25,"N",TRUE
345,"Y",0.32,"N",FALSE
343,"N",0.794,"Y",FALSE
340,"Y",0.598,"Y",TRUE
338,"Y",0.928,"Y",TRUE
335,"Y",0.834,"Y",TRUE
334,"N",0.38,"N",TRUE
332,"N",0.042,"N",TRUE
328,"N",0.012,"N",TRUE
327,"Y",0.124,"N",FALSE
323,"N",0.164,"N",TRUE
318,"N",0.004,"N",TRUE
306,"N",0.024,"N",TRUE
303,"N",0.258,"N",TRUE
417,"N",0.01,"N",TRUE
416,"N",0.37,"N",TRUE
415,"N",0.022,"N",TRUE
411,"N",0,"N",TRUE
407,"N",0,"N",TRUE
405,"N",0.03,"N",TRUE
400,"N",0.008,"N",TRUE
396,"N",0,"N",TRUE
395,"N",0.302,"N",TRUE
447,"N",0.026,"N",TRUE
443,"N",0.01,"N",TRUE
442,"N",0,"N",TRUE
437,"N",0.004,"N",TRUE
436,"Y",0.678,"Y",TRUE
429,"N",0.01,"N",TRUE
428,"N",0.002,"N",TRUE
