"UniqueID","Probability1"
6533,0.062
6534,0.31
6535,0.876
6536,0.324
6537,0.074
6538,0.834
6539,0.848
6540,0.036
6541,0.11
6542,0
6543,0
6544,0.714
6545,0
6546,0.06
6547,0
6548,0.876
6549,0.886
6550,0.232
6551,0.376
6552,0.006
6553,0.044
6554,0.19
6555,0.984
6556,0.002
6557,0
6558,0.362
6559,0
6560,0.914
6561,0.592
6562,0.066
6563,0.16
6564,0.006
6565,0
6566,0.144
6567,0.166
6568,0.914
6569,0.844
6570,0
6571,0.112
6572,0.736
6573,0.592
6574,1
6575,0.01
6576,0.818
6577,0
6578,0.002
6579,0.002
6580,0.002
6581,0.834
6582,0
6583,0
6584,0.37
6585,0.002
6586,0.136
6587,0.246
6588,0.002
6589,0
6590,0.192
6591,0.64
6592,0.024
6593,0
6594,0.01
6595,0
6596,0.008
6597,0.006
6598,0
6599,0
6600,0.738
6601,0.176
6602,0
6603,0.004
6604,0.006
6605,0.164
6606,0.9
6607,0.002
6608,0.722
6609,0.078
6610,0
6611,0.014
6612,0.276
6613,0
6614,0
6615,0
6616,0.052
6617,0.116
6618,0.14
6619,0.176
6620,0
6621,0.006
6622,0.02
6623,0
6624,0.188
6625,0.012
6626,0
6627,0
6628,0.004
6629,0.074
6630,0
6631,0.136
6632,0.296
6633,0.9
6634,0.088
6635,0.378
6636,0.31
6637,0.398
6638,0.372
6639,0.34
6640,0.204
6641,0.276
6642,0.28
6643,0.384
6644,0.338
6645,0.046
6646,0.38
6647,0.058
6648,0.066
6649,0.358
6650,0.838
6651,0
6652,0
6653,0.024
6654,0
6655,0.542
6656,0.106
6657,0
6658,0.018
6659,0.016
6660,0.572
6661,0
6662,0
6663,0
6664,0.196
6665,0.008
6666,0.104
6667,0.036
6668,0.018
6669,0.008
6670,0.724
6671,0.924
6672,0
6673,0.102
6674,0.02
6675,0.02
6676,0
6677,0
6678,0.026
6679,0
6680,0.886
6681,0
6682,0
6683,0.182
6684,0.364
6685,0.002
6686,0.024
6687,0.01
6688,0.93
6689,0
6690,0.03
6691,0.194
6692,0.264
6693,0
6694,0.782
6695,0.062
6696,0
6697,0.628
6698,0.012
6699,0.186
6700,0.002
6701,0.714
6702,0
6703,0.072
6704,0.028
6705,0.036
6706,0
6707,0.042
6708,0
6709,0.008
6710,0
6711,0.028
6712,0.006
6713,0.012
6714,0.146
6715,0.002
6716,0
6717,0
6718,0.27
6719,0.026
6720,0.696
6721,0.002
6722,0
6723,0.538
6724,0.11
6725,0.622
6726,0.084
6727,0.202
6728,0.902
6729,0.002
6730,0
6731,0.498
6732,0.002
6733,0
6734,0.036
6735,0.052
6736,0
6737,0.022
6738,0.268
6739,0.51
6740,0
6741,0.278
6742,0
6743,0.004
6744,0.01
6745,0.154
6746,0
6747,0.002
6748,0.034
6749,0.042
6750,0.922
6751,0.002
6752,0.354
6753,0.518
6754,0.008
6755,0.002
6756,0.038
6757,0.594
6758,0.35
6759,0.006
6760,0.038
6761,0.012
6762,0.002
6763,0.418
6764,0.898
6765,0.018
6766,0
6767,0
6768,0.056
6769,0.008
6770,0.024
6771,0.078
6772,0.076
6773,0
6774,0
6775,0.64
6776,0.046
6777,0.004
6778,0
6779,0.11
6780,0.948
6781,0.018
6782,0.138
6783,0
6784,0
6785,0.058
6786,0.002
6787,0.9
6788,0.1
6789,0.04
6790,0.1
6791,0.002
6792,0
6793,0.112
6794,0
6795,0.018
6796,0
6797,0.04
6798,0.032
6799,0.006
6800,0.018
6801,0.05
6802,0.072
6803,0.006
6804,0
6805,0.006
6806,0
6807,0.986
6808,0.984
6809,0.016
6810,0.872
6811,0.04
6812,0.036
6813,0
6814,0.008
6815,0.144
6816,0.108
6817,0.066
6818,0.04
6819,0.866
6820,0.006
6821,0.048
6822,0.078
6823,0.138
6824,0.67
6825,0.978
6826,0
6827,0.012
6828,0.008
6829,0.062
6830,0.042
6831,0.092
6832,0.008
6833,0
6834,0
6835,0.912
6836,0.006
6837,0.22
6838,0.014
6839,0
6840,0.03
6841,0.004
6842,0
6843,0
6844,0.88
6845,0.938
6846,0
6847,0.442
6848,0.028
6849,0.026
6850,0.234
6851,0
6852,0.834
6853,0
6854,0
6855,0.002
6856,0.004
6857,0.038
6858,0
6859,0.744
6860,0.652
6861,0.004
6862,0.07
6863,0.292
6864,0.458
6865,0.024
6866,0.69
6867,0.064
6868,0
6869,0.612
6870,0.172
6871,0
6872,0.022
6873,0.17
6874,0.06
6875,0.01
6876,0
6877,0.014
6878,0.356
6879,0.042
6880,0
6881,0.128
6882,0
6883,0.002
6884,0
6885,0.962
6886,0.018
6887,0
6888,0.224
6889,0.032
6890,0.004
6891,0.09
6892,0.022
6893,0.024
6894,0
6895,0
6896,0.002
6897,0.008
6898,0.02
6899,0.002
6900,0
6901,0
6902,0.002
6903,0.226
6904,0.946
6905,0.012
6906,0.006
6907,0.166
6908,0
6909,0.138
6910,0
6911,0
6912,0
6913,0.214
6914,0.14
6915,0.004
6916,0
6917,0.002
6918,0.468
6919,0
6920,0.266
6921,0.952
6922,0.034
6923,0.218
6924,0.09
6925,0.63
6926,0
6927,0.764
6928,0
6929,0.002
6930,0.004
6931,0.248
6932,0
6933,0
6934,0.784
6935,0.428
6936,0
6937,0.022
6938,0.07
6939,0
6940,0.818
6941,0.176
6942,0
6943,0.846
6944,0
6945,0
6946,0.214
6947,0.008
6948,0
6949,0.01
6950,0.192
6951,0.322
6952,0.004
6953,0.592
6954,0.032
6955,0.074
6956,0.676
6957,0.018
6958,0
6959,0
6960,0.486
6961,0.04
6962,0.006
6963,0.1
6964,0
6965,0.074
6966,0.126
6967,0.946
6968,0.416
6969,0
6970,0
6971,0.186
6972,0.612
6973,0.014
6974,0.004
6975,0.064
6976,0.13
6977,0
6978,0
6979,0.21
6980,0.002
6981,0.004
6982,0.064
6983,0.004
6984,0.002
6985,0.028
6986,0.04
6987,0.002
6988,0
6989,0.012
6990,0.862
6991,0.02
6992,0
6993,0.002
6994,0.064
6995,0
6996,0.004
6997,0.008
6998,0.014
6999,0
7000,0.04
7001,0.05
7002,0.902
7003,0.864
7004,0.052
7005,0.878
7006,0
7007,0
7008,0.052
7009,0.946
7010,0
7011,0.076
7012,0.982
7013,0.008
7014,0.652
7015,0.004
7016,0.926
7017,0.048
7018,0.35
7019,0.216
7020,0.034
7021,0.828
7022,0.922
7023,0.546
7024,0.754
7025,0
7026,0.722
7027,0
7028,0.004
7029,0
7030,0.58
7031,0
7032,0.252
7033,0.004
7034,0.392
7035,0.412
7036,0.108
7037,0.942
7038,0.29
7039,0.22
7040,0.004
7041,0
7042,0
7043,0.098
7044,0.614
7045,0.248
7046,0
7047,0.94
7048,0.774
7049,0.188
7050,0.012
7051,0.046
7052,0.23
7053,0.082
7054,0
7055,0.004
7056,0.212
7057,0.25
7058,0.226
7059,0.016
7060,0
7061,0.858
7062,0.062
7063,0
7064,0.026
7065,0.178
7066,0.45
7067,0.02
7068,0
7069,0.002
7070,0.118
7071,0.462
7072,0.98
7073,0.794
7074,0
7075,0.096
7076,0.02
7077,0
7078,0.102
7079,0.236
7080,0.002
7081,0.314
7082,0.79
7083,0
7084,0.868
7085,0
7086,0.012
