"Headline.pfx" "Popular.fctr" ".n"
"Ask Well::" "N" 6
"Reporter's Notebook::" "N" 6
"Your Turn::" "N" 9
"Readers Respond::" "N" 10
"Quiz(.*)([?=|]|[?=:]::" "N" 12
"On This Day::" "N" 15
"The Daily Gift::" "N" 26
"Verbatim::" "N" 33
"myEducation::" "N" 34
"myMultimedia::" "N" 35
"Today in Politics::" "N" 44
"What We're::" "N" 45
"Pictures of the (Day|Year|.)::" "N" 53
"First Draft::" "N" 58
"Today in Small Business::" "N" 58
"New York Today::" "N" 59
"Daily Report::" "N" 60
"6 Q's About the News::" "N" 61
"Test Yourself::" "N" 61
"Word of the Day::" "N" 61
"Daily Clip Report::" "N" 62
"Morning Agenda::" "N" 62
"myFood::" "N" 72
"myTech::" "N" 94
"myPolitics::" "N" 102
"19[0-9][0-9]::" "N" 150
".*Fashion Week::" "N" 184
"myMisc::" "N" 3967
"Quiz(.*)([?=|]|[?=:]::" "Y" 1
"Reporter's Notebook::" "Y" 2
"New York Today::" "Y" 3
"Your Turn::" "Y" 4
"myMultimedia::" "Y" 4
"Ask Well::" "Y" 9
"Readers Respond::" "Y" 9
"myFood::" "Y" 10
"myEducation::" "Y" 17
"myPolitics::" "Y" 26
"myTech::" "Y" 27
"myMisc::" "Y" 981
".*Fashion Week::" NA 2
"Ask Well::" NA 3
"On This Day::" NA 3
"Your Turn::" NA 3
"Quiz(.*)([?=|]|[?=:]::" NA 4
"Readers Respond::" NA 4
"Reporter's Notebook::" NA 7
"myFood::" NA 8
"Verbatim::" NA 12
"What We're::" NA 12
"First Draft::" NA 14
"6 Q's About the News::" NA 15
"Today in Small Business::" NA 15
"Morning Agenda::" NA 16
"Test Yourself::" NA 17
"Word of the Day::" NA 17
"myMultimedia::" NA 17
"Daily Report::" NA 18
"myEducation::" NA 18
"New York Today::" NA 21
"Today in Politics::" NA 21
"Daily Clip Report::" NA 22
"Pictures of the (Day|Year|.)::" NA 23
"The Daily Gift::" NA 24
"myTech::" NA 28
"19[0-9][0-9]::" NA 43
"myPolitics::" NA 48
"myMisc::" NA 1435
